[359/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:84  	cond:0
[360/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:75  	cond:0
[361/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:200  	lastexch:84  	cond:0
[362/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:200  	lastexch:84  	cond:0
[427/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:775  	lastexch:68  	cond:0
[434/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:200  	lastexch:84  	cond:0
[435/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:400  	lastexch:84  	cond:0
[436/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:316  	lastexch:84  	cond:0
[448/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:163  	lastexch:75  	cond:0
[449/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:500  	lastexch:68  	cond:0
[453/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:150  	lastexch:84  	cond:0
[454/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:163  	lastexch:68  	cond:0
[456/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:1  	lastexch:68  	cond:37
[457/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:20  	lastexch:68  	cond:37
[459/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:150  	lastexch:84  	cond:0
[460/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:62  	lastexch:68  	cond:37
[463/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:84  	cond:0
[466/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:510  	lastexch:68  	cond:0
[467/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:460  	lastexch:68  	cond:0
[468/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:2130  	lastexch:68  	cond:0
[469/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:195  	lastexch:68  	cond:0
[470/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:100  	lastexch:68  	cond:0
[475/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:500  	lastexch:68  	cond:0
[476/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:150  	lastexch:84  	cond:0
[480/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:762  	lastexch:68  	cond:0
[481/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:500  	lastexch:68  	cond:0
[482/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:25  	lastexch:68  	cond:37
[484/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:500  	lastexch:84  	cond:0
[485/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:250  	lastexch:68  	cond:0
[490/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:1  	lastexch:68  	cond:37
[504/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:4  	lastexch:68  	cond:37
