[169/47861] [12/1/2014 9:31:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:66  	cond:0
[170/47861] [12/1/2014 9:31:1] TRADE   	[last:56.89  	lastsize:19  	lastexch:84  	cond:37
[171/47861] [12/1/2014 9:31:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:90  	cond:0
[172/47861] [12/1/2014 9:31:1] TRADE   	[last:56.88  	lastsize:100  	lastexch:75  	cond:0
[173/47861] [12/1/2014 9:31:1] TRADE   	[last:56.88  	lastsize:50  	lastexch:66  	cond:37
[180/47861] [12/1/2014 9:31:1] TRADE   	[last:56.88  	lastsize:50  	lastexch:66  	cond:37
[181/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:200  	lastexch:80  	cond:0
[182/47861] [12/1/2014 9:31:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:78  	cond:0
[183/47861] [12/1/2014 9:31:1] TRADE   	[last:56.88  	lastsize:65  	lastexch:78  	cond:37
[184/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:200  	lastexch:80  	cond:0
[185/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:19  	lastexch:84  	cond:37
[186/47861] [12/1/2014 9:31:1] TRADE   	[last:56.87  	lastsize:100  	lastexch:66  	cond:0
[187/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:100  	lastexch:90  	cond:0
[188/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:100  	lastexch:75  	cond:0
[189/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:100  	lastexch:74  	cond:0
[190/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:165  	lastexch:90  	cond:0
[191/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:100  	lastexch:75  	cond:0
[192/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:100  	lastexch:75  	cond:0
[193/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:100  	lastexch:66  	cond:0
[196/47861] [12/1/2014 9:31:1] TRADE   	[last:56.84  	lastsize:50  	lastexch:84  	cond:37
[197/47861] [12/1/2014 9:31:1] TRADE   	[last:56.90  	lastsize:2  	lastexch:68  	cond:37
[198/47861] [12/1/2014 9:31:1] TRADE   	[last:56.84  	lastsize:100  	lastexch:90  	cond:0
[199/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:100  	lastexch:68  	cond:0
[200/47861] [12/1/2014 9:31:1] TRADE   	[last:56.87  	lastsize:100  	lastexch:84  	cond:0
[201/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:63  	lastexch:68  	cond:37
[203/47861] [12/1/2014 9:31:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:75  	cond:0
[204/47861] [12/1/2014 9:31:1] TRADE   	[last:56.91  	lastsize:100  	lastexch:75  	cond:0
[205/47861] [12/1/2014 9:31:1] TRADE   	[last:56.93  	lastsize:100  	lastexch:68  	cond:0
[206/47861] [12/1/2014 9:31:1] TRADE   	[last:56.93  	lastsize:100  	lastexch:68  	cond:0
[207/47861] [12/1/2014 9:31:1] TRADE   	[last:56.85  	lastsize:165  	lastexch:68  	cond:0
[208/47861] [12/1/2014 9:31:1] TRADE   	[last:56.93  	lastsize:100  	lastexch:68  	cond:0
[214/47861] [12/1/2014 9:31:2] TRADE   	[last:56.831  	lastsize:500  	lastexch:68  	cond:0
[220/47861] [12/1/2014 9:31:8] TRADE   	[last:56.95  	lastsize:100  	lastexch:75  	cond:0
[223/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9575  	lastsize:85  	lastexch:68  	cond:37
[224/47861] [12/1/2014 9:31:10] TRADE   	[last:56.96  	lastsize:100  	lastexch:68  	cond:0
[225/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[226/47861] [12/1/2014 9:31:10] TRADE   	[last:56.97  	lastsize:100  	lastexch:68  	cond:0
[227/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[228/47861] [12/1/2014 9:31:10] TRADE   	[last:56.97  	lastsize:100  	lastexch:68  	cond:0
[229/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[230/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
