[67/5404] [12/1/2014 9:33:0] QUOTE   	[bid:11.85  	ask:11.97   	bidsize:1  	asksize:1  	bidexch:75  	askexch:89  	cond:0
[68/5404] [12/1/2014 9:33:0] QUOTE   	[bid:11.85  	ask:11.97   	bidsize:1  	asksize:1  	bidexch:75  	askexch:74  	cond:0
[69/5404] [12/1/2014 9:33:3] QUOTE   	[bid:11.85  	ask:11.96   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[70/5404] [12/1/2014 9:33:3] QUOTE   	[bid:11.85  	ask:11.95   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[71/5404] [12/1/2014 9:33:7] QUOTE   	[bid:11.86  	ask:11.95   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[74/5404] [12/1/2014 9:33:15] QUOTE   	[bid:11.86  	ask:11.95   	bidsize:1  	asksize:2  	bidexch:75  	askexch:81  	cond:0
[76/5404] [12/1/2014 9:33:39] QUOTE   	[bid:11.83  	ask:11.95   	bidsize:1  	asksize:2  	bidexch:75  	askexch:81  	cond:0
[77/5404] [12/1/2014 9:33:39] QUOTE   	[bid:11.83  	ask:11.94   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[78/5404] [12/1/2014 9:33:39] QUOTE   	[bid:11.83  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[91/5404] [12/1/2014 9:33:42] QUOTE   	[bid:11.81  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[94/5404] [12/1/2014 9:33:45] QUOTE   	[bid:11.75  	ask:11.91   	bidsize:2  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[95/5404] [12/1/2014 9:33:45] QUOTE   	[bid:11.75  	ask:11.90   	bidsize:2  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[96/5404] [12/1/2014 9:33:48] QUOTE   	[bid:11.75  	ask:11.88   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[97/5404] [12/1/2014 9:33:50] QUOTE   	[bid:11.75  	ask:11.90   	bidsize:2  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[98/5404] [12/1/2014 9:33:50] QUOTE   	[bid:11.75  	ask:11.86   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[99/5404] [12/1/2014 9:33:50] QUOTE   	[bid:11.75  	ask:11.86   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[100/5404] [12/1/2014 9:33:50] QUOTE   	[bid:11.76  	ask:11.86   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[102/5404] [12/1/2014 9:33:50] QUOTE   	[bid:11.76  	ask:11.86   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[108/5404] [12/1/2014 9:33:53] QUOTE   	[bid:11.76  	ask:11.90   	bidsize:2  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[109/5404] [12/1/2014 9:33:55] QUOTE   	[bid:11.76  	ask:11.85   	bidsize:2  	asksize:1  	bidexch:81  	askexch:80  	cond:0
