[359/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:300  	lastexch:90  	cond:0
[360/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:100  	lastexch:74  	cond:0
[362/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:85  	lastexch:74  	cond:0
[372/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:500  	lastexch:81  	cond:0
[386/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:240  	lastexch:81  	cond:0
[387/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:200  	lastexch:81  	cond:0
[388/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:60  	lastexch:81  	cond:37
[397/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:200  	lastexch:80  	cond:0
[398/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:344  	lastexch:80  	cond:0
[401/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:300  	lastexch:81  	cond:0
[402/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:34  	lastexch:81  	cond:0
[405/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:200  	lastexch:81  	cond:0
[406/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:75  	cond:0
[413/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:320  	lastexch:80  	cond:9
[414/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:50  	lastexch:81  	cond:37
[418/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:150  	lastexch:80  	cond:0
[433/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:90  	lastexch:68  	cond:37
[435/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:820  	lastexch:80  	cond:0
[436/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:150  	lastexch:68  	cond:0
[437/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:89  	lastexch:68  	cond:37
[439/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:176  	lastexch:80  	cond:0
