[137/5404] [12/1/2014 9:35:55] TRADE   	[last:11.81  	lastsize:100  	lastexch:75  	cond:0
[140/5404] [12/1/2014 9:35:56] TRADE   	[last:11.81  	lastsize:100  	lastexch:81  	cond:0
[145/5404] [12/1/2014 9:36:9] TRADE   	[last:11.82  	lastsize:100  	lastexch:81  	cond:0
[147/5404] [12/1/2014 9:36:12] TRADE   	[last:11.83  	lastsize:200  	lastexch:68  	cond:0
[148/5404] [12/1/2014 9:36:12] TRADE   	[last:11.83  	lastsize:100  	lastexch:68  	cond:0
[154/5404] [12/1/2014 9:36:19] TRADE   	[last:11.83  	lastsize:100  	lastexch:81  	cond:0
[156/5404] [12/1/2014 9:36:19] TRADE   	[last:11.84  	lastsize:100  	lastexch:81  	cond:0
[176/5404] [12/1/2014 9:36:59] TRADE   	[last:11.84  	lastsize:100  	lastexch:68  	cond:0
[177/5404] [12/1/2014 9:36:59] TRADE   	[last:11.84  	lastsize:100  	lastexch:68  	cond:0
[183/5404] [12/1/2014 9:37:7] TRADE   	[last:11.84  	lastsize:100  	lastexch:68  	cond:0
[186/5404] [12/1/2014 9:37:7] TRADE   	[last:11.84  	lastsize:100  	lastexch:68  	cond:0
[191/5404] [12/1/2014 9:38:21] TRADE   	[last:11.7501  	lastsize:3  	lastexch:68  	cond:0
[199/5404] [12/1/2014 9:38:21] TRADE   	[last:11.75  	lastsize:3  	lastexch:68  	cond:0
[215/5404] [12/1/2014 9:40:58] TRADE   	[last:11.82  	lastsize:100  	lastexch:75  	cond:0
[217/5404] [12/1/2014 9:40:58] TRADE   	[last:11.82  	lastsize:50  	lastexch:81  	cond:37
[233/5404] [12/1/2014 9:41:17] TRADE   	[last:11.81  	lastsize:100  	lastexch:75  	cond:0
[242/5404] [12/1/2014 9:41:21] TRADE   	[last:11.82  	lastsize:100  	lastexch:81  	cond:0
[243/5404] [12/1/2014 9:41:21] TRADE   	[last:11.82  	lastsize:58  	lastexch:81  	cond:0
[245/5404] [12/1/2014 9:41:21] TRADE   	[last:11.82  	lastsize:100  	lastexch:75  	cond:0
[247/5404] [12/1/2014 9:41:21] TRADE   	[last:11.82  	lastsize:100  	lastexch:75  	cond:0
[249/5404] [12/1/2014 9:41:23] TRADE   	[last:11.82  	lastsize:100  	lastexch:81  	cond:0
[250/5404] [12/1/2014 9:41:23] TRADE   	[last:11.82  	lastsize:100  	lastexch:75  	cond:0
[251/5404] [12/1/2014 9:41:23] TRADE   	[last:11.82  	lastsize:100  	lastexch:75  	cond:0
[255/5404] [12/1/2014 9:41:25] TRADE   	[last:11.82  	lastsize:100  	lastexch:81  	cond:0
[256/5404] [12/1/2014 9:41:25] TRADE   	[last:11.82  	lastsize:100  	lastexch:81  	cond:0
[257/5404] [12/1/2014 9:41:25] TRADE   	[last:11.82  	lastsize:92  	lastexch:81  	cond:0
[269/5404] [12/1/2014 9:41:26] TRADE   	[last:11.85  	lastsize:100  	lastexch:68  	cond:0
[286/5404] [12/1/2014 9:41:47] TRADE   	[last:11.79  	lastsize:82  	lastexch:81  	cond:0
[294/5404] [12/1/2014 9:42:4] TRADE   	[last:11.79  	lastsize:100  	lastexch:80  	cond:0
[306/5404] [12/1/2014 9:42:11] TRADE   	[last:11.76  	lastsize:100  	lastexch:80  	cond:0
[313/5404] [12/1/2014 9:42:18] TRADE   	[last:11.76  	lastsize:100  	lastexch:81  	cond:0
[314/5404] [12/1/2014 9:42:18] TRADE   	[last:11.76  	lastsize:100  	lastexch:75  	cond:0
[315/5404] [12/1/2014 9:42:18] TRADE   	[last:11.785  	lastsize:100  	lastexch:68  	cond:0
[316/5404] [12/1/2014 9:42:18] TRADE   	[last:11.785  	lastsize:100  	lastexch:68  	cond:0
[320/5404] [12/1/2014 9:42:27] TRADE   	[last:11.775  	lastsize:100  	lastexch:68  	cond:0
[323/5404] [12/1/2014 9:42:27] TRADE   	[last:11.76  	lastsize:100  	lastexch:81  	cond:0
[324/5404] [12/1/2014 9:42:27] TRADE   	[last:11.76  	lastsize:100  	lastexch:81  	cond:0
[325/5404] [12/1/2014 9:42:27] TRADE   	[last:11.76  	lastsize:100  	lastexch:81  	cond:0
[326/5404] [12/1/2014 9:42:27] TRADE   	[last:11.76  	lastsize:100  	lastexch:81  	cond:0
[328/5404] [12/1/2014 9:42:27] TRADE   	[last:11.76  	lastsize:100  	lastexch:75  	cond:0
[329/5404] [12/1/2014 9:42:27] TRADE   	[last:11.77  	lastsize:100  	lastexch:80  	cond:0
[330/5404] [12/1/2014 9:42:27] TRADE   	[last:11.76  	lastsize:100  	lastexch:75  	cond:0
[331/5404] [12/1/2014 9:42:27] TRADE   	[last:11.775  	lastsize:200  	lastexch:68  	cond:0
[332/5404] [12/1/2014 9:42:27] TRADE   	[last:11.76  	lastsize:100  	lastexch:75  	cond:0
[333/5404] [12/1/2014 9:42:27] TRADE   	[last:11.775  	lastsize:100  	lastexch:68  	cond:0
[334/5404] [12/1/2014 9:42:27] TRADE   	[last:11.775  	lastsize:100  	lastexch:68  	cond:0
[335/5404] [12/1/2014 9:42:27] TRADE   	[last:11.775  	lastsize:100  	lastexch:68  	cond:0
[336/5404] [12/1/2014 9:42:28] TRADE   	[last:11.775  	lastsize:100  	lastexch:68  	cond:0
[337/5404] [12/1/2014 9:42:28] TRADE   	[last:11.7725  	lastsize:100  	lastexch:68  	cond:0
[338/5404] [12/1/2014 9:42:28] TRADE   	[last:11.76  	lastsize:200  	lastexch:68  	cond:0
[339/5404] [12/1/2014 9:42:28] TRADE   	[last:11.7725  	lastsize:100  	lastexch:68  	cond:0
[340/5404] [12/1/2014 9:42:28] TRADE   	[last:11.76  	lastsize:100  	lastexch:75  	cond:0
[342/5404] [12/1/2014 9:42:30] TRADE   	[last:11.76  	lastsize:100  	lastexch:75  	cond:0
[346/5404] [12/1/2014 9:42:31] TRADE   	[last:11.76  	lastsize:100  	lastexch:81  	cond:0
[347/5404] [12/1/2014 9:42:31] TRADE   	[last:11.7725  	lastsize:100  	lastexch:68  	cond:0
[348/5404] [12/1/2014 9:42:31] TRADE   	[last:11.775  	lastsize:100  	lastexch:68  	cond:0
[351/5404] [12/1/2014 9:42:32] TRADE   	[last:11.76  	lastsize:100  	lastexch:81  	cond:0
[353/5404] [12/1/2014 9:42:36] TRADE   	[last:11.775  	lastsize:100  	lastexch:68  	cond:0
[358/5404] [12/1/2014 9:42:41] TRADE   	[last:11.75  	lastsize:97  	lastexch:81  	cond:0
[375/5404] [12/1/2014 9:42:52] TRADE   	[last:11.73  	lastsize:600  	lastexch:68  	cond:0
[386/5404] [12/1/2014 9:43:8] TRADE   	[last:11.67  	lastsize:100  	lastexch:66  	cond:0
[401/5404] [12/1/2014 9:44:39] TRADE   	[last:11.6999  	lastsize:2  	lastexch:68  	cond:0
[403/5404] [12/1/2014 9:44:40] TRADE   	[last:11.62  	lastsize:700  	lastexch:68  	cond:0
[404/5404] [12/1/2014 9:44:40] TRADE   	[last:11.62  	lastsize:300  	lastexch:68  	cond:0
[409/5404] [12/1/2014 9:44:48] TRADE   	[last:11.6005  	lastsize:100  	lastexch:68  	cond:0
[410/5404] [12/1/2014 9:44:48] TRADE   	[last:11.605  	lastsize:100  	lastexch:68  	cond:0
[423/5404] [12/1/2014 9:45:38] TRADE   	[last:11.531  	lastsize:50  	lastexch:68  	cond:0
[424/5404] [12/1/2014 9:46:2] TRADE   	[last:11.531  	lastsize:200  	lastexch:68  	cond:0
[425/5404] [12/1/2014 9:46:2] TRADE   	[last:11.58  	lastsize:100  	lastexch:68  	cond:0
[426/5404] [12/1/2014 9:46:2] TRADE   	[last:11.58  	lastsize:150  	lastexch:68  	cond:0
[438/5404] [12/1/2014 9:47:17] TRADE   	[last:11.61  	lastsize:100  	lastexch:81  	cond:0
[441/5404] [12/1/2014 9:47:17] TRADE   	[last:11.61  	lastsize:100  	lastexch:81  	cond:0
[444/5404] [12/1/2014 9:47:17] TRADE   	[last:11.61  	lastsize:100  	lastexch:81  	cond:0
[447/5404] [12/1/2014 9:47:18] TRADE   	[last:11.6195  	lastsize:100  	lastexch:68  	cond:0
[448/5404] [12/1/2014 9:47:18] TRADE   	[last:11.6195  	lastsize:100  	lastexch:68  	cond:0
[449/5404] [12/1/2014 9:47:18] TRADE   	[last:11.6195  	lastsize:100  	lastexch:68  	cond:0
[458/5404] [12/1/2014 9:47:30] TRADE   	[last:11.61  	lastsize:100  	lastexch:81  	cond:0
